ID,timestamp,timediff,X1,X2,X5,X7,X8
3440,29864,10,62.487,62.807,65.007,63.587,56.177
4806,29865,10,62.487,62.807,65.007,63.587,56.177
819,29869,11,62.487,,65.007,63.587,57.447
6059,29871,10,62.487,,,64.217,57.447
4807,29875,10,62.957,,,64.217,57.447
820,29879,10,62.957,65.487,65.797,64.217,57.917
2114,29882,10,62.957,65.487,65.797,64.857,57.917
6060,29882,11,62.957,65.487,65.797,64.857,57.917
3442,29884,10,62.957,65.487,65.797,64.857,57.917
4808,29886,11,63.437,65.487,65.797,64.857,57.917
821,29889,10,63.437,65.957,65.797,64.857,58.857
6061,29892,10,63.437,65.957,66.907,65.007,58.857
2115,29892,10,63.437,65.957,66.907,65.007,58.857
3443,29895,11,,65.957,66.907,65.007,58.857
4809,29896,10,,65.957,66.907,65.007,58.857
6062,29902,10,,65.487,65.797,63.587,57.757
2116,29903,11,,65.487,65.797,63.587,57.757
3444,29905,10,62.177,65.487,65.797,63.587,57.757
4810,29906,10,62.177,65.487,65.797,63.587,57.757
823,29910,11,62.177,65.007,65.797,63.587,57.917
2117,29913,10,62.177,65.007,65.797,61.387,57.917
6063,29913,11,62.177,65.007,65.797,61.387,57.917
3445,29915,10,62.177,65.007,65.797,61.387,57.917
4811,29917,11,60.127,65.007,65.797,61.387,57.917
824,29920,10,60.127,63.587,65.797,61.387,57.447
2118,29923,10,60.127,63.587,63.277,61.067,57.447
6064,29923,10,60.127,63.587,63.277,61.067,57.447
3446,29925,10,60.127,63.587,63.277,61.067,57.447
4812,29927,10,59.647,63.587,63.277,61.067,57.447
825,29930,10,59.647,64.067,63.277,61.067,55.547
6065,29933,10,59.647,64.067,63.437,,55.547
2119,29934,11,59.647,64.067,63.437,,55.547
3447,29936,11,60.757,64.067,63.437,,55.547
826,29940,10,60.757,,63.437,,55.397
6066,29943,10,60.757,,63.117,61.387,55.397
3448,29946,10,,,63.117,61.387,55.397
4814,29947,10,,,63.117,61.387,55.397
827,29951,11,,62.957,63.117,61.387,55.397
6067,29954,11,,62.957,62.807,61.857,55.397
2121,29954,10,,62.957,62.807,61.857,55.397
3449,29956,10,,62.957,62.807,61.857,55.397
4815,29958,11,60.437,62.957,62.807,61.857,55.397
828,29961,10,60.437,62.487,62.807,61.857,55.547
6068,29964,10,60.437,62.487,63.587,61.227,55.547
2122,29964,10,60.437,62.487,63.587,61.227,55.547
3450,29966,10,60.437,62.487,63.587,61.227,55.547
4816,29968,10,60.437,62.487,63.587,61.227,55.547
829,29971,10,60.437,,63.587,61.227,55.547
6069,29974,10,60.437,,63.277,61.857,55.547
2123,29975,11,60.437,,63.277,61.857,55.547
3451,29977,11,59.647,,63.277,61.857,55.547
4817,29978,10,59.647,,63.277,61.857,55.547
830,29982,11,59.647,62.017,63.277,61.857,
6070,29984,10,59.647,62.017,62.807,61.697,
2124,29985,10,59.647,62.017,62.807,61.697,
3452,29987,10,59.647,62.017,62.807,61.697,
4818,29988,10,60.127,62.017,62.807,61.697,
831,29992,10,60.127,62.487,62.807,61.697,55.397
6071,29995,11,60.127,62.487,63.117,61.857,55.397
2125,29995,10,60.127,62.487,63.117,61.857,55.397
3453,29997,10,60.127,62.487,63.117,61.857,55.397
4819,29999,11,60.127,62.487,63.117,61.857,55.397
832,30002,10,60.127,61.857,63.117,61.857,55.237
6072,30005,10,60.127,61.857,63.277,62.017,55.237
2126,30005,10,60.127,61.857,63.277,62.017,55.237
3454,30008,11,59.647,61.857,63.277,62.017,55.237
4820,30009,10,59.647,61.857,63.277,62.017,55.237
833,30012,10,59.647,62.487,63.277,62.017,
2127,30016,11,59.647,62.487,63.117,61.537,
3455,30018,10,59.647,62.487,63.117,61.537,
4821,30019,10,59.647,62.487,63.117,61.537,
834,30023,11,59.647,61.537,63.117,61.537,
2128,30026,10,59.647,61.537,62.807,61.537,
3456,30028,10,59.647,61.537,62.807,61.537,
4822,30029,10,,61.537,62.807,61.537,
2129,30036,10,,61.227,62.017,60.127,53.977
6075,30036,11,,61.227,62.017,60.127,53.977
3457,30038,10,58.077,61.227,62.017,60.127,53.977
4823,30040,11,58.077,61.227,62.017,60.127,53.977
836,30043,10,58.077,60.757,62.017,60.127,53.497
6076,30046,10,58.077,60.757,61.387,59.967,53.497
2130,30046,10,58.077,60.757,61.387,59.967,53.497
3458,30049,11,57.597,60.757,61.387,59.967,53.497
4824,30050,10,57.597,60.757,61.387,59.967,53.497
837,30053,10,57.597,59.487,61.387,59.967,52.867
6077,30056,10,57.597,59.487,,58.547,52.867
2131,30057,11,57.597,59.487,,58.547,52.867
3459,30059,10,55.707,59.487,,58.547,52.867
4825,30060,10,55.707,59.487,,58.547,52.867
838,30064,11,55.707,58.227,,58.547,52.557
6078,30067,11,55.707,58.227,60.597,57.757,52.557
2132,30067,10,55.707,58.227,60.597,57.757,52.557
3460,30069,10,55.707,58.227,60.597,57.757,52.557
4826,30071,11,54.607,58.227,60.597,57.757,52.557
839,30074,10,54.607,57.127,60.597,57.757,51.767
6079,30077,10,54.607,57.127,59.017,56.807,51.767
2133,30077,10,54.607,57.127,59.017,56.807,51.767
3461,30079,10,54.607,57.127,59.017,56.807,51.767
4827,30081,10,,57.127,59.017,56.807,51.767
6080,30087,10,,56.027,58.857,55.707,49.247
2134,30088,11,,56.027,58.857,55.707,49.247
3462,30090,11,52.717,56.027,58.857,55.707,49.247
4828,30091,10,52.717,56.027,58.857,55.707,49.247
841,30094,10,52.717,56.027,58.857,55.707,
2135,30098,10,52.717,56.027,58.387,56.337,
3463,30100,10,,56.027,58.387,56.337,
4829,30101,10,,56.027,58.387,56.337,
6082,30108,11,,,58.077,55.397,50.817
3464,30110,10,53.187,,58.077,55.397,50.817
4830,30112,11,53.187,,58.077,55.397,50.817
843,30115,10,53.187,54.917,58.077,55.397,48.137
2137,30118,10,53.187,54.917,57.127,54.757,48.137
6083,30118,10,53.187,54.917,57.127,54.757,48.137
3465,30120,10,53.187,54.917,57.127,54.757,48.137
4831,30122,10,51.767,54.917,57.127,54.757,48.137
844,30125,10,51.767,55.077,57.127,54.757,48.617
6084,30128,10,51.767,55.077,56.337,54.607,48.617
2138,30129,11,51.767,55.077,56.337,54.607,48.617
3466,30131,11,51.137,55.077,56.337,54.607,48.617
4832,30132,10,51.137,55.077,56.337,54.607,48.617
845,30136,11,51.137,53.977,56.337,54.607,47.987
6085,30138,10,51.137,53.977,56.027,51.767,47.987
2139,30139,10,51.137,53.977,56.027,51.767,47.987
3467,30141,10,51.137,53.977,56.027,51.767,47.987
4833,30142,10,48.297,53.977,56.027,51.767,47.987
846,30146,10,48.297,51.927,56.027,51.767,
2140,30149,10,48.297,51.927,,50.027,
4834,30153,11,46.247,51.927,,50.027,
847,30156,10,46.247,52.077,,50.027,45.617
2141,30159,10,46.247,52.077,53.497,48.297,45.617
6086,30159,21,46.247,52.077,53.497,48.297,45.617
3469,30162,11,,52.077,53.497,48.297,45.617
4835,30163,10,,52.077,53.497,48.297,45.617
6087,30169,10,,53.187,54.757,49.397,47.667
2142,30170,11,,53.187,54.757,49.397,47.667
3470,30172,10,48.457,53.187,54.757,49.397,47.667
4836,30173,10,48.457,53.187,54.757,49.397,47.667
849,30177,11,48.457,52.717,54.757,49.397,47.667
6088,30179,10,48.457,52.717,53.187,48.137,47.667
2143,30180,10,48.457,52.717,53.187,48.137,47.667
3471,30182,10,48.457,52.717,53.187,48.137,47.667
4837,30183,10,,52.717,53.187,48.137,47.667
6089,30190,11,,,52.557,46.247,46.247
3472,30192,10,46.717,,52.557,46.247,46.247
4838,30194,11,46.717,,52.557,46.247,46.247
851,30197,10,46.717,,52.557,46.247,46.567
6090,30200,10,46.717,,52.867,45.617,46.567
3473,30203,11,44.357,,52.867,45.617,46.567
4839,30204,10,44.357,,52.867,45.617,46.567
852,30207,10,44.357,,52.867,45.617,47.667
6091,30210,10,44.357,,53.027,50.667,47.667
3474,30213,10,48.297,,53.027,50.667,47.667
4840,30214,10,48.297,,53.027,50.667,47.667
853,30218,11,48.297,,53.027,50.667,46.247
6092,30221,11,48.297,,53.187,47.827,46.247
3475,30223,10,48.297,,53.187,47.827,46.247
4841,30225,11,49.717,,53.187,47.827,46.247
854,30228,10,49.717,51.447,53.187,47.827,
2145,30231,10,49.717,51.447,53.817,46.407,
3476,30233,10,49.717,51.447,53.817,46.407,
4842,30235,10,46.717,51.447,53.817,46.407,
855,30238,10,46.717,,53.817,46.407,45.937
6094,30241,10,46.717,,,44.517,45.937
4843,30245,10,46.567,,,44.517,45.937
856,30248,10,46.567,48.297,,44.517,
2146,30252,21,46.567,48.297,53.657,46.717,
3478,30254,10,46.567,48.297,53.657,46.717,
4844,30255,10,46.567,48.297,53.657,46.717,
857,30259,11,46.567,49.247,53.657,46.717,
2147,30262,10,46.567,49.247,53.657,45.307,
3479,30264,10,46.567,49.247,53.657,45.307,
4845,30266,11,47.347,49.247,53.657,45.307,
858,30269,10,47.347,50.817,53.657,45.307,44.517
2148,30272,10,47.347,50.817,51.137,45.147,44.517
6095,30272,31,47.347,50.817,51.137,45.147,44.517
3480,30274,10,47.347,50.817,51.137,45.147,44.517
4846,30276,10,47.827,50.817,51.137,45.147,44.517
859,30279,10,47.827,50.027,51.137,45.147,45.777
6096,30282,10,47.827,50.027,52.397,47.347,45.777
2149,30283,11,47.827,50.027,52.397,47.347,45.777
3481,30285,11,46.087,50.027,52.397,47.347,45.777
4847,30286,10,46.087,50.027,52.397,47.347,45.777
860,30290,11,46.087,50.507,52.397,47.347,45.307
6097,30292,10,46.087,50.507,52.397,46.407,45.307
2150,30293,10,46.087,50.507,52.397,46.407,45.307
3482,30295,10,46.087,50.507,52.397,46.407,45.307
4848,30296,10,,50.507,52.397,46.407,45.307
2151,30303,10,,50.027,52.397,48.137,44.517
6098,30303,11,,50.027,52.397,48.137,44.517
3483,30305,10,46.877,50.027,52.397,48.137,44.517
4849,30307,11,46.877,50.027,52.397,48.137,44.517
862,30310,10,46.877,50.187,52.397,48.137,46.877
2152,30313,10,46.877,50.187,,48.927,46.877
6099,30313,10,46.877,50.187,,48.927,46.877
4850,30317,10,47.987,50.187,,48.927,46.877
863,30320,10,47.987,49.247,,48.927,46.567
6100,30323,10,47.987,49.247,52.397,48.617,46.567
2153,30324,11,47.987,49.247,52.397,48.617,46.567
3485,30326,10,50.027,49.247,52.397,48.617,46.567
4851,30327,10,50.027,49.247,52.397,48.617,46.567
864,30331,11,50.027,,52.397,48.617,
3486,30336,10,50.027,,52.077,47.827,
4852,30337,10,48.927,,52.077,47.827,
865,30341,10,48.927,49.877,52.077,47.827,
