ID,timestamp,X1,X2,X5,X7,X8
6030,29574,60.757,62.487,62.017,62.017,53.497
2084,29574,60.757,62.487,62.017,62.017,53.497
3412,29576,60.757,62.487,62.017,62.017,53.497
4778,29578,60.277,62.487,62.017,62.017,53.497
791,29581,60.277,62.807,62.017,62.017,53.817
6031,29584,60.277,62.807,62.957,62.327,53.817
2085,29584,60.277,62.807,62.957,62.327,53.817
3413,29587,60.907,62.807,62.957,62.327,53.817
4779,29588,60.907,62.807,62.957,62.327,53.817
792,29591,60.907,62.957,62.957,62.327,53.817
6032,29594,60.907,62.957,62.487,61.857,53.817
2086,29595,60.907,62.957,62.487,61.857,53.817
3414,29597,60.127,62.957,62.487,61.857,53.817
4780,29598,60.127,62.957,62.487,61.857,53.817
793,29602,60.127,62.327,62.487,61.857,53.817
2087,29605,60.127,62.327,62.487,61.697,53.817
6033,29605,60.127,62.327,62.487,61.697,53.817
3415,29607,60.127,62.327,62.487,61.697,53.817
4781,29609,60.127,62.327,62.487,61.697,53.817
794,29612,60.127,62.647,62.487,61.697,54.447
6034,29615,60.127,62.647,62.647,62.647,54.447
2088,29615,60.127,62.647,62.647,62.647,54.447
3416,29617,60.127,62.647,62.647,62.647,54.447
4782,29619,61.857,62.647,62.647,62.647,54.447
795,29622,61.857,64.697,62.647,62.647,56.027
6035,29625,61.857,64.697,64.537,63.907,56.027
2089,29626,61.857,64.697,64.537,63.907,56.027
3417,29628,62.487,64.697,64.537,63.907,56.027
4783,29629,62.487,64.697,64.537,63.907,56.027
796,29632,62.487,64.697,64.537,63.907,57.447
6036,29635,62.487,64.697,64.857,65.007,57.447
2090,29636,62.487,64.697,64.857,65.007,57.447
3418,29638,62.487,64.697,64.857,65.007,57.447
4784,29639,62.487,64.697,64.857,65.007,57.447
797,29643,62.487,65.637,64.857,65.007,
2091,29646,62.487,65.637,65.327,64.537,
6037,29646,62.487,65.637,65.327,64.537,
3419,29648,62.487,65.637,65.327,64.537,
4785,29650,63.277,65.637,65.327,64.537,
798,29653,63.277,65.637,65.327,64.537,56.657
6038,29656,63.277,65.637,65.487,65.797,56.657
2092,29656,63.277,65.637,65.487,65.797,56.657
3420,29658,63.277,65.637,65.487,65.797,56.657
